,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
157942,283084,0,Cash loans,F,N,N,1,166500.0,901813.5,27472.5,778500.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.018801,-11650,-664,-863.0,-4199,,1,1,0,1,0,0,,2.0,2,2,SUNDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.4192209629252024,0.5948802015459166,,0.0825,0.0787,0.9762,0.6736,0.0351,0.0,0.1379,0.1667,0.0417,0.0585,0.0672,0.071,,0.0,0.084,0.0817,0.9762,0.6864,0.0354,0.0,0.1379,0.1667,0.0417,0.0599,0.0735,0.074,,0.0,0.0833,0.0787,0.9762,0.6779999999999999,0.0353,0.0,0.1379,0.1667,0.0417,0.0596,0.0684,0.0723,,0.0,reg oper spec account,block of flats,0.075,Panel,No,0.0,0.0,0.0,0.0,-1760.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
235981,373338,0,Cash loans,M,Y,Y,0,261000.0,518562.0,24160.5,463500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.010006,-23737,365243,-1355.0,-4161,1.0,1,0,0,1,0,0,,1.0,2,1,TUESDAY,12,0,0,0,0,0,0,XNA,,0.5475184367122218,0.4471785780453068,0.1041,0.078,0.9916,0.8844,0.0288,0.08,0.069,0.3333,0.375,0.0707,0.0832,0.1393,0.0077,0.0151,0.1061,0.0809,0.9916,0.8889,0.0291,0.0806,0.069,0.3333,0.375,0.0723,0.0909,0.1451,0.0078,0.016,0.1051,0.078,0.9916,0.8859,0.029,0.08,0.069,0.3333,0.375,0.0719,0.0847,0.1418,0.0078,0.0154,reg oper account,block of flats,0.1288,Panel,No,0.0,0.0,0.0,0.0,-1795.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
136407,258217,1,Cash loans,F,N,Y,1,139500.0,573628.5,24435.0,463500.0,Unaccompanied,Pensioner,Lower secondary,Separated,House / apartment,0.032561,-14922,365243,-9025.0,-462,,1,0,0,1,1,0,,2.0,1,1,FRIDAY,16,0,0,0,0,0,0,XNA,0.37512259958645,0.5111306437644837,,0.141,0.1071,0.9771,,,0.36,0.2241,0.1942,,,,0.0848,,,0.0945,0.103,0.9772,,,0.3625,0.2069,0.1667,,,,0.0588,,,0.0937,0.0992,0.9771,,,0.36,0.2069,0.1667,,,,0.0575,,,,block of flats,0.2691,Panel,No,0.0,0.0,0.0,0.0,-410.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21528,125076,1,Cash loans,M,Y,N,0,247500.0,1575000.0,43312.5,1575000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.030755,-18668,-2381,-7335.0,-2203,3.0,1,1,1,1,1,0,Drivers,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,Business Entity Type 1,0.4300989107285917,0.6909489832936385,0.2009260877159709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-543.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
96958,212551,0,Cash loans,M,N,N,0,157500.0,545040.0,25537.5,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.009175,-13034,-188,-4406.0,-1024,,1,1,0,1,0,0,,2.0,2,2,FRIDAY,17,0,0,0,1,1,0,Business Entity Type 3,0.2584859106471312,0.7859292366346498,0.7713615919194317,0.0278,0.0,0.9811,,,0.0,0.1034,0.0833,,,,0.0272,,0.0,0.0284,0.0,0.9811,,,0.0,0.1034,0.0833,,,,0.0284,,0.0,0.0281,0.0,0.9811,,,0.0,0.1034,0.0833,,,,0.0277,,0.0,,block of flats,0.0214,Panel,No,0.0,0.0,0.0,0.0,-833.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
292983,439422,0,Cash loans,F,N,Y,1,121500.0,448056.0,21919.5,315000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.04622,-10764,-565,-4763.0,-3413,,1,1,0,1,0,0,Sales staff,2.0,1,1,MONDAY,10,0,0,0,0,0,0,Self-employed,0.1780852221850967,0.7085553494031229,,0.1021,0.1341,0.9866,,,0.0,0.1724,0.1667,,0.0233,,0.065,,0.0,0.104,0.1392,0.9866,,,0.0,0.1724,0.1667,,0.0238,,0.0677,,0.0,0.1031,0.1341,0.9866,,,0.0,0.1724,0.1667,,0.0237,,0.0662,,0.0,,block of flats,0.0859,Panel,No,0.0,0.0,0.0,0.0,-376.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
187281,317106,1,Cash loans,F,N,Y,0,112500.0,970380.0,28503.0,810000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.002042,-9864,-1769,-655.0,-2315,,1,1,0,1,0,0,Laborers,2.0,3,3,SATURDAY,13,0,0,0,0,0,0,Postal,,0.6338106202974552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-605.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35081,140640,0,Cash loans,F,N,Y,0,171000.0,1288350.0,37800.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0116569999999999,-20340,-2698,-5100.0,-3596,,1,1,0,1,0,0,Sales staff,2.0,1,1,MONDAY,15,0,0,0,0,0,0,Self-employed,,0.7309491537657617,,0.0371,0.0296,0.993,0.9048,0.0101,0.04,0.0345,0.3333,0.375,0.0,0.0303,0.0585,0.0,0.0,0.0378,0.0308,0.993,0.9085,0.0102,0.0403,0.0345,0.3333,0.375,0.0,0.0331,0.061,0.0,0.0,0.0375,0.0296,0.993,0.9061,0.0102,0.04,0.0345,0.3333,0.375,0.0,0.0308,0.0596,0.0,0.0,reg oper account,block of flats,0.0516,Panel,No,2.0,0.0,2.0,0.0,-2474.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
228901,365135,0,Cash loans,F,Y,Y,0,225000.0,1327500.0,35019.0,1327500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-15804,-1562,-1500.0,-624,14.0,1,1,0,1,1,1,Managers,2.0,2,2,THURSDAY,11,0,0,0,0,1,1,Business Entity Type 3,0.783478562976386,0.6733861234340149,0.2778856891082046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-917.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
126010,246121,1,Cash loans,F,N,N,0,202500.0,1078200.0,29781.0,900000.0,,Working,Secondary / secondary special,Married,House / apartment,0.00963,-20619,-1577,-12515.0,-4063,,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 2,,0.2052403148637376,0.5495965024956946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
